Medicines,Drugs
Arnil ,Diclofenac Sodium 
Artifen ,Diclofenac Sodium 
Advacort Ointment ,"Methylprednisolone Aceponate, Topical "
AV-Sartan ,Amlodipine
Aidra ,Leflunomide 
Acabel ,Lornoxicam 
Atcam ,Lornoxicam 
Apranax ,Naproxen 
Aproxen DS,Naproxen 
Axicam ,Piroxicam 
Adronil ,Ibandronic Acid 
Aurora ,Rosuvastatin calcium 
Abriva ,Sofosbuvir
Anplag ,Ticagrelor 
Arixtra ,Fondaparinux Sodium
Anvol ,Nebivolol HCl 
Anvol ,Nebivolol HCl
Awzi ,Azithromycin 
Amlo-Q ,Amlodipine 
Adablizer ,Aripiprazole 
AD Folic ,Quatrefolate 
Adapco Forte Gel ,Adapalene 
Aquavit  sachet,Calcium Supplement
Alcuflex ,Naproxen
Actifed-DM ,pseudoephedrine 
Avsar ,Amlodipine besylate 
Ampress ,Amlodipine
Aminovel ,Amino Acid Solution
Atenolol ,Atenolol
Amgydex Eye Drop ,Dexamethasone
Actiflor ,Saccharomyces Boulardii 
Ampiclox Drop ,Ampicillin and Cloxacillin 
Amlocard ,Amlodipine
A,Losartan Potassium 
Amclav ,Co-amoxiclav 
Acetra ,Tramadol 
Angiwell ,Ranolazine 
Acicon ,Famotidine 
AM-Telsan ,Amlodipine 
Agolix ,Doxofylline 
Aireez ,Montelukast 
Amisped ,Montelukast 
Asthiven ,Montelukast 
Avsar Plus ,Amlodipine besylate 
Am-Telsan ,Telmisartan 
Avsar Plus  ,Amlodipine besylate 
Amoxil ,Amoxicillin 
Atorva ,Atorvastatin calcium trihydrate 
Atmos ,Ebastine 
Amity ,Ciprofloxacin 
Advance ,Fluoxetine 
Amak ,Amikacin Sulfate 
Atem ,Ipratropium Bromide 
Adapco ,Adapalene 
Avodart ,Dutasteride 
All Purpose Nipple Ointment (APNO) ,Betamethasone 
Amodip ,Amlodipine 
Amoxi-Clav ,Co-amoxiclav 
Azocam ,Azithromycin 
Aireez   ,Montelukast 
Am-Descol ,Amlodipine 
Amodip-V ,Amlodipine besylate 
Aproxen ,Naproxen 
Alfa-D   ,Alfacalcidol 
Agnar   ,Calcium Supplement 
Altin-Met  ,Metformin 
Am-Telsan ,Amlodipine 
Amoxi-Clav  tablet,Co-amoxiclav
Aripan ,Aripiprazole 
Aceclocare ,Aceclofenac 
Acuron ,Atracurium Besylate 
Avaam ,Amlodipine 
Alkeris-SR ,Aceclofenac 
A-Glip ,Sitagliptin 
Acukat   drops,Nepafenac
Azineu ,Azithromycin 
Am-Telsan  ,Amlodipine 
Artem Plus  ,Artemether/Lumafantrine 
Adrance-M ,Empagliflozin 
Amsart ,Amlodipine besylate 
Amsart ,Amlodipine 
Amis ,Amisulpride 
Adrance ,Empagliflozin 
Anplag  ,Ticagrelor 
Admit ,Sitagliptin 
Aminoleban Liquid ,Aminoacids 
Atizor ,Azithromycin 
Alkeris ,Aceclofenac 
Antial ,Loratadine 
Av-Sartan ,Amlodipine 
Actrac ,Isotretinoin Oral 
Advit-D ,Cholecalciferol 
Aromek ,Letrozole 
Afdol  oral solution,Memantine HCl
Afdol ,Memantine HCl 
Algocin ,Ciprofloxacin 
Algocin ,Memantine HCl 
All-D  drops,Cholecalciferol
Avec ,Cetirizine Hydrochloride 
Avec   syrup,Cetirizine Hydrochloride
Azocam-DS ,Azithromycin 
Amstan ,Amlodipine 
Address ,Amlodipine 
Abriva Plus ,Sofosbuvir 
Ansaid ,Flurbiprofen
Arinac Forte ,Ibuprofen 
Aripip ,Aripiprazole
Adalat LA ,Nifedipine 
Arinac Tab ,Ibuprofen 
Arimidex ,Anastrozole 
Avelox ,"Moxifloxacin, Oral "
Atarax ,Hydroxyzine 
Ascard Plus ,Clopidogrel Bisulphate 
AM-Descol  ,Amlodipine besylate 
Alphagan ,Brimonidine Tartrate 
Adoxa ,Doxycycline
Axcin ,Ciprofloxacin 
Alfa-D ,Alfacalcidol
Azomax ,Azithromycin 
Aerokast ,Montelukast 
Advantan Fatty Ointment ,"Methylprednisolone Aceponate, Topical "
Advantan Ointment ,"Methylprednisolone Aceponate, Topical "
Augmentin  Infant Drops ,Co-amoxiclav
Artem Plus ,Artemether 
Anafortan Plus  coated tablets,Phloroglucinol
Acicon ,Famotidine
Acylex ,Acyclovir inf/oral 
Ampiclox Syrup ,Ampicillin and Cloxacillin 
Ampiclox ,Ampicillin and Cloxacillin 
Apsin ,Famotidine 
Abocal  tablet effervescent,Calcium carbonate
Acyclovir ,Acyclovir inf/oral 
ACYLEX (Acyclovir) ,Acyclovir inf/oral 
Advantan Cream ,"Methylprednisolone Aceponate, Topical "
Aerokast ,Montelukast
Anafortan Plus  injection,Phloroglucinol and Trimethylphloroglucinol
Augmentin ,Co-amoxiclav 
Aerokast Powder Sachet ,Montelukast
AMOXIL FORTE ,Amoxicillin 
Amplus ,Ampicillin
Avsar ,Valsartan 
Antolol ,Atenolol 
Atenorm ,Atenolol 
Atlin ,Atenolol 
Actim ,Bisoprolol Fumarate 
Amaryl ,Glimepiride 
Amaryl M S.R ,Glimepiride 
Amaryl-M.S.R ,Glimepiride 
Andrex ,Testosterone undecanoate 
Atcomid ,Lacosamide 
Albizole ,Clotrimazole 
Acetofen ,Orphenadrine 
Ambrogesic ,Orphenadrine 
Agile ,Tizanidine 
Analar ,Tizanidine 
Amodip-V ,Valsartan 
Amstan ,Valsartan 
Angiotan H ,Valsartan 
Advant ,Candesartan Cilexetil 
Advantec ,Candesartan Cilexetil 
Aprovel ,Irbesartan 
Adenuric ,Febuxostat 
Atconate ,Risedronate Sodium 
Aldomet ,Methyldopa 
Azotek ,Azithromycin 
Azopt ,Brinzolamide 
Afoxin ,Clarithromycin 
Acireg ,Esomeperazole 
Arysa ,Esomeperazole 
Axesom ,Esomeperazole 
Axid Neo ,Esomeperazole 
Acnesafe ,Clindamycin 
Amoxi-Clav ,Amoxicillin 
Acsolve ,Clindamycin 
Amclav Plus ,Co-amoxiclav 
Amclav-DS ,Co-amoxiclav 
Amclav tablet ,Co-amoxiclav 
Augmentin DS ,Amoxicillin 
Augmentin BD ,Amoxicillin 
Amgydex ,Dexamethasone 
Aloc ,Fexofenadine 
Alofex ,Fexofenadine 
Atiza ,Levocetirizine 
Avil ,Pheniramine Maleate 
Amdaquin ,Amodiaquine 
A-Fantrine ,Artemether 
Artem ,Artemether 
Artemex ,Artemether 
Arteza ,Artemether 
A-Fantrine Ds ,Artemether 
A-Fantrine BD ,Artemether 
Arceva ,Artemether 
Arceva Ds ,Artemether 
Artelum ,Artemether 
Artem DS Plus ,Artemether 
Artemex L Forte ,Artemether 
Artheget ,Artemether 
Artheget-DS ,Artemether 
Artedoxin ,Artesunate 
Artesul ,Artesunate 
Artepip ,Dihydroartemisinin 
Avanep ,Nepafenac 
Athofix ,Azithromycin 
Azibect ,Azithromycin 
Azicure ,Azithromycin 
Azilis ,Azithromycin 
Azocin ,Azithromycin 
Azogil ,Azithromycin 
Acetin ,Acitretin 
Asset ,Acitretin 
Acne-Lene ,Adapalene 
Adapco cream ,Adapalene 
Amikacin Inj ,Amikacin 
Amikacin ,Amikacin 
Amikin ,Amikacin 
Amisul ,Amikacin 
Amkay ,Amikacin 
Arix ,Cetirizine 
Arynoin ,Isotretinoin Topical 
Atractin ,Isotretinoin Topical 
Asilix ,Levofloxacin 
Atcoflox ,Levofloxacin 
Allerwood ,Loratadine 
Arlufa ,Artemether 
Artecxin Forte ,Artemether 
Artecxin ,Artemether 
Artelum Forte ,Artemether 
Acizol ,Omeprazole 
Abnil ,Orlistat 
Actrapid HM Vial ,Insulin Regular 
Apidra ,Insulin Glulisine 
Amper ,Perindopril 
Amygra ,Pyridostigmine Bromide 
Aldactone ,Spironolactone 
Aldactone-A ,Spironolactone 
Acylex ,Acyclovir 
Angiwell - XR ,Ranolazine
Acdermin Gel ,Clindamycin 
Aerocef ,Cefixime 
Abzid ,Ceftazidime 
Abex ,Ceftriaxone 
Aczon ,Ceftriaxone 
Amizone ,Ceftriaxone 
Amtraxa ,Ceftriaxone 
Aventriax ,Ceftriaxone 
Acecol ,Aceclofenac 
Acelish ,Aceclofenac 
Acelo ,Aceclofenac 
Acemed ,Aceclofenac 
Acenac ,Aceclofenac 
Airtal ,Aceclofenac 
Airtal ER ,Aceclofenac 
Antiflam ,Diclofenac potassium 
Artimov-K ,Diclofenac potassium 
Aaram ,Diclofenac sodium 
Arsofin ,Diclofenac Sodium and Misoprostol 
Artho ,Diclofenac Sodium and Misoprostol 
Annuva ,Diclofenac Sodium 
